Nivel,Nombre,Formula,Carga
1,Carbonato,CO_3,-2
1,Nitrato,NO_3,-1
1,Nitrito,NO_2,-1
1,Fosfato,PO_4,-3
1,Óxido,O,-2
1,Hidróxido,OH,-1
1,Sulfato,SO_4,-2
1,Fluoruro,F,-1
1,Cloruro,Cl,-1
1,Bromuro,Br,-1
1,Yoduro,I,-1
1,Sulfuro,S,-2
2,Silicato,SiO_3,-2
2,Permanganato,MnO_4,-1
2,Cromato,CrO_4,-2
2,Sulfito,SO_3,-2
2,Peróxido,O_2,-2
2,Clorato,ClO_3,-1
2,Perclorato,ClO_4,-1
2,Hipoclorito,ClO,-1
2,Cianuro,CN,-1
2,Bromato,BrO_3,-1
2,Yodato,IO_3,-1
2,Hidruro,H,-1
3,Dicromato,Cr_2O_7,-2
3,Manganato,MnO_4,-2
3,Borato,BO_3,-3
3,Arseniato,AsO_4,-3
3,Hiposulfito,SO_2,-2
3,Fosfuro,P,-3
3,Peryodato,IO_4,-1
3,Nitruro,N,-3
3,Pirofosfato,P_2O_7,-4
3,Antimonato,SbO_4,-3
3,Acetato,CH_3CO_2,-1
3,Oxalato,C_2O_4,-2
4,Piroborato,B_2O_5,-4
4,Metaborato,BO_2,-1
4,Selenito,SeO_3,-2
4,Selenuro,Se,-2
4,Molibdato,MoO_4,-2
4,Vanadato,VO_3,-1
4,Arseniuro,As,-3
4,Piroarsenicato,As_2O_7,-4
4,Piroantimonato,Sb_2O_7,-4
4,Hipoyodito,IO,-1
4,Tiocianato,SCN,-1
4,Tiosulfato,S_2O_3,-2
